+	Ohthere	Ohthere	ohthere
+	Wiltunscir	Wiltunscire	wiltunscir
+	bisceop	biscop	bisceop
+	weorþan	wearþ	weorþan
-	geceosan	gecoren	сeosan
-	to	to	toh
+	arcebisceop	ærcebiscpe	arcebisceop
-	to	to	toh
-	Cantwara.burg	Cantuareberi	cantwara
+	her	Her	her
-	cuman	cuom	None
+	se	se	se
-	here	here	herian
-	to	to	toh
+	Readingum	Readingum	readingum
+	on	on	on
+	West-Seaxe	West.Seaxe	west-seaxe
+	&	&	None
+	se	þæs	se
+	ymb	ymb	ymb
+	þri	iii	þri
+	niht	niht	niht
+	ridan	ridon	ridan
+	twegen	ii	twegen
+	eorl	eorlas	eorl
+	up	up	up
+	þa	Þa	þa
+	gemetan	gemette	gemetan
+	hi	hie	hi
+	Æþelwulf	Æþelwulf	æþelwulf
+	ealdorman	aldorman	ealdorman
+	on	on	on
+	Englafeld	Englafelda	englafeld
+	&	&	None
-	hi	him	him
+	þær	þær	þær
+	wiþ	wiþ	wiþ
+	gefeohtan	gefeaht	gefeohtan
+	&	&	None
+	sige	sige	sige
+	niman	nam	niman
+	se	Þæs	se
+	ymb	ymb	ymb
+	feower	iiii	feower
+	niht	niht	niht
+	Æþered	Æþered	æþered
+	cyning	cyning	cyning
+	&	&	None
+	Ælfred	Ælfred	ælfred
-	his	his	hit
+	broðor	broþur	broðor
+	þær	þær	þær
+	micel	micle	micel
-	fyrd	fierd	fierd
-	to	to	toh
+	Readingum	Readingum	readingum
+	gelædan	gelæddon	gelædan
+	&	&	None
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	gefeohtan	gefuhton	gefeohtan
+	&	&	None
+	þær	þær	þær
+	wesan	wæs	wesan
+	micel	micel	micel
+	wæl	wæl	wæl
-	geslean	geslægen	slean
+	on	on	on
+	gehwæðer	gehwæþre	gehwæðer
-	hand	hond	None
+	&	&	None
+	Æþelwulf	Æþelwulf	æþelwulf
+	ealdorman	aldormon	ealdorman
+	weorþan	wearþ	weorþan
+	ofslean	ofslægen	ofslean
+	&	&	None
-	se	þa	þu
+	Deniscan	Deniscan	deniscan
+	agan	ahton	agan
+	wælstow	wælstowe	wælstow
+	geweald	gewald	geweald
+	&	&	None
+	se	þæs	se
+	ymb	ymb	ymb
+	feower	iiii	feower
+	niht	niht	niht
+	gefeohtan	gefeaht	gefeohtan
+	Æþered	Æþered	æþered
+	cyning	cyning	cyning
+	&	&	None
+	Ælfred	Ælfred	ælfred
-	his	his	hit
+	broðor	broþur	broðor
+	wiþ	wiþ	wiþ
+	eal	alne	eal
+	se	þone	se
-	here	here	herian
+	on	on	on
+	Æscesdun	Æscesdune	æscesdun
+	&	&	None
+	hi	hie	hi
-	wesan	wærun	None
+	on	on	on
-	twegen	twæm	twæman
+	gefylce	gefylcum	gefylce
+	on	on	on
-	oðer	oþrum	oþrum
+	wesan	wæs	wesan
+	Bagsecg	Bachsecg	bagsecg
+	&	&	None
+	Halfdene	Halfdene	halfdene
-	se	þa	þu
-	hæðen	hæþnan	hæþen
+	cyning	cyningas	cyning
+	&	&	None
+	on	on	on
-	oðer	oþrum	oþrum
+	wesan	wæron	wesan
-	se	þa	þu
+	eorl	eorlas	eorl
+	&	&	None
-	þa	þa	þu
+	gefeohtan	gefeaht	gefeohtan
+	se	se	se
+	cyning	cyning	cyning
+	Æþered	Æþered	æþered
+	wiþ	wiþ	wiþ
-	se	þara	þær
+	cyning	cyninga	cyning
+	getruma	getruman	getruma
+	&	&	None
+	þær	þær	þær
+	weorþan	wearþ	weorþan
+	se	se	se
+	cyning	cyning	cyning
+	Bagsecg	Bagsecg	bagsecg
+	ofslean	ofslægen	ofslean
+	&	&	None
+	Ælfred	Ælfred	ælfred
-	his	his	hit
+	broðor	broþur	broðor
+	wiþ	wiþ	wiþ
-	se	þara	þær
+	eorl	eorla	eorl
+	getruma	getruman	getruma
+	&	&	None
+	þær	þær	þær
+	weorþan	wearþ	weorþan
+	Sidroc	Sidroc	sidroc
+	eorl	eorl	eorl
+	ofslean	ofslægen	ofslean
+	se	se	se
-	eald	alda	ald
+	&	&	None
+	Sidroc	Sidroc	sidroc
+	eorl	eorl	eorl
+	se	se	se
-	geong	gioncga	None
+	&	&	None
+	Osbearn	Osbearn	osbearn
+	eorl	eorl	eorl
+	&	&	None
+	Fræna	Fræna	fræna
+	eorl	eorl	eorl
+	&	&	None
+	Hareld	Hareld	hareld
+	eorl	eorl	eorl
+	&	&	None
-	se	þa	þu
+	here	hergas	here
+	begen	begen	begen
+	geflyman	gefliemde	geflyman
+	&	&	None
+	fela	fela	fela
+	þusend	þusenda	þusend
+	ofslean	ofslægenra	ofslean
+	&	&	None
+	onfeohtan	onfeohtende	onfeohtan
+	wesan	wæron	wesan
+	oþ	oþ	oþ
+	niht	niht	niht
+	&	&	None
+	se	þæs	se
+	ymb	ymb	ymb
+	feowertyne	xiiii	feowertyne
+	niht	niht	niht
+	gefeohtan	gefeaht	gefeohtan
+	Æþered	Æþered	æþered
+	cyning	cyning	cyning
+	&	&	None
+	Ælfred	Ælfred	ælfred
-	his	his	hit
+	broður	broður	broður
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	æt	æt	æt
+	Basengum	Basengum	basengum
+	&	&	None
+	þær	þær	þær
-	se	þa	þu
+	Deniscan	Deniscan	deniscan
+	sige	sige	sige
+	niman	namon	niman
+	&	&	None
+	se	þæs	se
+	ymb	ymb	ymb
+	twegen	ii	twegen
+	monaþ	monaþ	monaþ
+	gefeohtan	gefeaht	gefeohtan
+	Æþered	Æþered	æþered
+	cyning	cyning	cyning
+	&	&	None
+	Ælfred	Ælfred	ælfred
-	his	his	hit
+	broðor	broþur	broðor
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	æt	æt	æt
+	Meretun	Meretune	meretun
+	&	&	None
+	hi	hie	hi
-	wesan	wærun	None
+	on	on	on
+	twegen	tuæm	twegen
+	gefylce	gefylcium	gefylce
+	&	&	None
+	hi	hie	hi
+	butu	butu	butu
+	geflyman	gefliemdon	geflyman
+	&	&	None
-	lange	longe	long
+	on	on	on
+	dæg	dæg	dæg
+	sige	sige	sige
+	agan	ahton	agan
+	&	&	None
+	þær	þær	þær
+	weorþan	wearþ	weorþan
+	micel	micel	micel
+	wælsliht	wælsliht	wælsliht
+	on	on	on
+	gehwæðer	gehwæþere	gehwæðer
-	hand	hond	None
+	&	&	None
-	se	þa	þu
+	Deniscan	Deniscan	deniscan
+	agan	ahton	agan
+	wælstow	wælstowe	wælstow
+	geweald	gewald	geweald
+	&	&	None
+	þær	þær	þær
+	weorþan	wearþ	weorþan
+	Heahmund	Heahmund	heahmund
+	bisceop	biscep	bisceop
+	ofslean	ofslægen	ofslean
+	&	&	None
+	fela	fela	fela
+	god	godra	god
+	mann	monna	mann
+	&	&	None
+	æfter	æfter	æfter
+	þes	þissum	þes
-	gefeoht	gefeohte	gefeohtan
-	cuman	cuom	None
+	micel	micel	micel
+	sumerlida	sumorlida	sumerlida
+	&	&	None
+	se	þæs	se
+	ofer	ofer	ofer
+	easter	Eastron	easter
+	gefaran	gefor	gefaran
+	Æþered	Æþered	æþered
+	cyning	cyning	cyning
+	&	&	None
+	he	he	he
+	ricsian	ricsode	ricsian
+	fif	v	fif
+	gear	gear	gear
+	&	&	None
-	his	his	hit
-	lic	lic	liс
-	licgan	liþ	liþan
+	æt	æt	æt
+	Winburne	Winburnan	winburne
+	þa	Þa	þa
+	fon	feng	fon
+	Ælfred	Ælfred	ælfred
+	Æþelwulfing	Æþelwulfing	æþelwulfing
-	his	his	hit
+	broðor	broþur	broðor
-	to	to	toh
+	West-Seaxe	Wesseaxna	west-seaxe
-	rice	rice	romana
+	&	&	None
+	se	þæs	se
+	ymb	ymb	ymb
+	an	anne	an
+	monaþ	monaþ	monaþ
+	gefeohtan	gefeaht	gefeohtan
+	Ælfred	Ælfred	ælfred
+	cyning	cyning	cyning
+	wiþ	wiþ	wiþ
+	eal	alne	eal
+	se	þone	se
-	here	here	herian
+	lytel	lytle	lytel
-	weorod	werede	werian
+	æt	æt	æt
+	Wiltun	Wiltune	wiltun
+	&	&	None
+	he	hine	he
-	lange	longe	long
+	on	on	on
+	dæg	dæg	dæg
+	geflyman	gefliemde	geflyman
+	&	&	None
-	se	þa	þu
+	Deniscan	Deniscan	deniscan
+	agan	ahton	agan
+	wælstow	wælstowe	wælstow
+	geweald	gewald	geweald
+	&	&	None
+	se	þæs	se
+	gear	geares	gear
-	weorþan	wurdon	wurdon
+	nigon	viiii	nigon
+	folcgefeoht	folcgefeoht	folcgefeoht
+	gefeohtan	gefohten	gefeohtan
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	on	on	on
-	se	þy	þywan
+	cynerice	cynerice	cynerice
+	be	be	be
+	suþan	suþan	suþan
-	Temes	Temese	temesemuþa
+	&	&	None
+	butan	butan	butan
-	se	þam	þæm
-	þe	þe	þu
-	hi	him	him
+	Ælfred	Ælfred	ælfred
+	se	þæs	se
+	cyning	cyninges	cyning
+	broðor	broþur	broðor
+	&	&	None
+	anlipig	anlipig	anlipig
+	ealdorman	aldormon	ealdorman
+	&	&	None
+	cyning	cyninges	cyning
-	þegen	þegnas	þegn
+	oft	oft	oft
+	rad	rade	rad
+	onridan	onridon	onridan
-	þe	þe	þu
-	man	mon	mann
+	na	na	na
-	ne	ne	nesan
+	riman	rimde	riman
+	&	&	None
+	se	þæs	se
+	gear	geares	gear
-	wesan	wærun	None
+	ofslean	ofslægene	ofslean
+	nigon	viiii	nigon
+	eorl	eorlas	eorl
+	&	&	None
-	an	an	on
+	cyning	cyning	cyning
+	&	&	None
-	se	þy	þywan
-	gear	geare	geare
+	niman	namon	niman
+	West-Seaxe	Westseaxe	west-seaxe
+	friþ	friþ	friþ
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	her	Her	her
-	faran	for	for
+	se	se	se
-	here	here	herian
-	to	to	toh
+	Lundenburh	Lundenbyrig	lundenburh
-	fram	from	from
+	Readingum	Readingum	readingum
+	&	&	None
+	þær	þær	þær
+	wintersetl	wintersetl	wintersetl
+	niman	nam	niman
+	&	&	None
-	þa	þa	þu
+	niman	namon	niman
+	Mirce	Mierce	mirce
+	friþ	friþ	friþ
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	her	Her	her
-	faran	for	for
+	se	se	se
-	here	here	herian
+	on	on	on
+	Norþan-hymbre	Norþhymbre	norþan-hymbre
+	&	&	None
+	he	he	he
+	niman	nam	niman
+	wintersetl	wintersetl	wintersetl
+	on	on	on
+	Lindesse	Lindesse	lindesse
+	æt	æt	æt
+	Turec	Tureces	turec
+	ig	iege	ig
+	&	&	None
-	þa	þa	þu
+	niman	namon	niman
+	Mirce	Mierce	mirce
+	friþ	friþ	friþ
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	her	Her	her
-	faran	for	for
+	se	se	se
-	here	here	herian
-	fram	from	from
+	Lindesse	Lindesse	lindesse
-	to	to	toh
+	Hreopedun	Hreopedune	hreopedun
+	&	&	None
+	þær	þær	þær
+	wintersetl	wintersetl	wintersetl
+	niman	nam	niman
+	&	&	None
+	se	þone	se
+	cyning	cyning	cyning
+	Burgred	Burgræd	burgred
+	ofer	ofer	ofer
+	sæ	sæ	sæ
+	adræfan	adræfdon	adræfan
+	ymb	ymb	ymb
+	twentigtwegen	xxii	twentigtwegen
-	winter	wintra	wintra
+	se	þæs	se
-	þe	þe	þu
+	he	he	he
-	rice	rice	romana
+	habban	hæfde	habban
+	&	&	None
-	se	þæt	þæt
+	land	lond	land
+	eal	all	eal
+	gegan	geeodon	gegan
+	&	&	None
+	he	he	he
-	faran	for	for
-	to	to	toh
+	Rom	Rome	rom
+	&	&	None
+	þær	þær	þær
+	gesittan	gesæt	gesittan
+	&	&	None
-	his	his	hit
-	lic	lic	liс
-	licgan	liþ	liþan
+	on	on	on
+	Sancta	Sancta	sancta
+	Marian	Marian	marian
+	cirice	ciricean	cirice
+	on	on	on
+	Angelcynn	Angelcynnes	angelcynn
+	scolu	scole	scolu
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
+	hi	hie	hi
+	sellan	sealdon	sellan
+	an	anum	an
+	unwis	unwisum	unwis
+	cyning	cyninges	cyning
-	þegen	þegne	þegn
+	Mirce	Miercna	mirce
-	rice	rice	romana
-	to	to	toh
-	healdan	haldanne	None
+	&	&	None
+	he	he	he
-	hi	him	him
+	aþ	aþas	aþ
+	swerian	swor	swerian
+	&	&	None
-	gisel	gislas	gisl
-	sellan	salde	None
+	þæt	þæt	þæt
+	he	he	he
-	hi	him	him
-	gearo	gearo	gearu
-	wesan	wære	wære
+	swa	swa	swa
+	hwilc	hwelce	hwilc
-	dæg	dæge	dæge
+	swa	swa	swa
+	hi	hie	hi
+	hit	hit	hit
+	habban	habban	habban
+	willan	wolden	willan
+	&	&	None
+	he	he	he
-	gearo	gearo	gearu
-	wesan	wære	wære
+	mid	mid	mid
-	he	him	him
+	self	selfum	self
+	&	&	None
+	on	on	on
+	eal	allum	eal
-	se	þam	þæm
-	þe	þe	þu
-	he	him	him
+	læstan	læstan	læstan
+	willan	woldon	willan
-	to	to	toh
+	se	þæs	se
-	here	heres	None
+	þearf	þearfe	þearf
+	her	Her	her
-	faran	for	for
+	se	se	se
-	here	here	herian
-	fram	from	from
+	Hreopedun	Hreopedune	hreopedun
+	&	&	None
+	Halfdene	Healfdene	halfdene
+	for	for	for
+	mid	mid	mid
+	sum	sumum	sum
-	se	þam	þæm
-	here	here	herian
+	on	on	on
+	Norþan-hymbre	Norþhymbre	norþan-hymbre
+	&	&	None
+	niman	nam	niman
+	wintersetl	wintersetl	wintersetl
+	be	be	be
+	Tina	Tinan	tina
-	se	þære	þære
+	ea	ea	ea
+	&	&	None
+	se	se	se
-	here	here	herian
-	se	þæt	þæt
+	land	lond	land
+	gegan	geeode	gegan
+	&	&	None
+	oft	oft	oft
+	hergian	hergade	hergian
+	on	on	on
+	Peohtas	Peohtas	peohtas
+	&	&	None
+	on	on	on
+	Stræcled	Stræcled	stræcled
+	Walas	Walas	walas
+	&	&	None
-	faran	for	for
+	Godrum	Godrum	godrum
+	&	&	None
+	Oscytel	Oscytel	oscytel
+	&	&	None
+	Anwynd	Anwynd	anwynd
-	se	þa	þu
+	þri	iii	þri
+	cyning	cyningas	cyning
+	of	of	of
+	Hreopedun	Hreopedune	hreopedun
-	to	to	toh
+	Grantebrycg	Grante.brycge	grantebrycg
+	mid	mid	mid
+	micel	micle	micel
-	here	here	herian
+	&	&	None
+	sittan	sæton	sittan
+	þær	þær	þær
-	an	an	on
+	gear	gear	gear
+	&	&	None
-	se	þy	þywan
+	sumer	sumera	sumer
-	faran	for	for
+	Ælfred	Ælfred	ælfred
+	cyning	cyning	cyning
+	ut	ut	ut
+	on	on	on
+	sæ	sæ	sæ
+	mid	mid	mid
+	sciphere	sciphere	sciphere
+	&	&	None
+	gefeohtan	gefeaht	gefeohtan
+	wiþ	wiþ	wiþ
+	seofon	vii	seofon
+	sciphlæst	sciphlæstas	sciphlæst
+	&	&	None
-	hi	hiera	hira
-	an	an	on
-	gefeng	gefeng	gefon
+	&	&	None
-	se	þa	þu
-	oðer	oþru	oþer
+	geflyman	gefliemde	geflyman
+	her	Her	her
+	he	hiene	he
+	bestelan	bestæl	bestelan
+	se	se	se
-	here	here	herian
+	into	into	into
+	Werham	Werham	werham
+	West-Seaxe	Wesseaxna	west-seaxe
-	fyrd	fierde	fierd
+	&	&	None
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	se	se	se
+	cyning	cyning	cyning
+	friþ	friþ	friþ
+	niman	nam	niman
+	&	&	None
-	he	him	him
-	þa	þa	þu
+	aþ	aþas	aþ
+	swerian	sworon	swerian
+	on	on	on
-	se	þam	þæm
+	halig	halgan	halig
+	beah	beage	beah
-	þe	þe	þu
+	hi	hie	hi
+	ær	ær	ær
+	nan	nanre	nan
-	þeod	þeode	þeon
-	ne	n	næs
-	willan	oldon	None
+	þæt	þæt	þæt
+	hi	hie	hi
+	hrædlice	hrædlice	hrædlice
+	of	of	of
-	his	his	hit
-	rice	rice	romana
+	faran	foren	faran
+	&	&	None
+	hi	hie	hi
-	þa	þa	þu
+	under	under	under
-	se	þam	þæm
+	hi	hie	hi
+	niht	nihtes	niht
+	bestelan	bestælon	bestelan
-	se	þære	þære
-	fyrd	fierde	fierd
+	se	se	se
+	gehorsian	gehorsoda	gehorsian
-	here	here	herian
+	into	into	into
+	Escanceaster	Escanceaster	escanceaster
+	&	&	None
-	se	þy	þywan
-	gear	geare	geare
+	Halfdene	Healfdene	halfdene
+	Norþan-hymbre	Norþanhymbra	norþan-hymbre
+	land	lond	land
+	gedælan	gedælde	gedælan
+	&	&	None
-	erian	ergende	None
+	wesan	wæron	wesan
+	&	&	None
+	hira	hiera	hira
-	tilian	tilgende	None
+	her	Her	her
-	cuman	cuom	None
+	se	se	se
-	here	here	herian
+	into	into	into
+	Exanceaster	Escanceastre	exanceaster
-	fram	from	from
+	Werham	Werham	werham
+	&	&	None
+	se	se	se
+	sciphere	sciphere	sciphere
+	seglan	sigelede	seglan
-	west	west	westan
+	ymbutan	ymbutan	ymbutan
+	&	&	None
-	þa	þa	þu
+	metan	mette	metan
+	hi	hie	hi
+	micel	micel	micel
-	yst	yst	yþan
+	on	on	on
+	sæ	sæ	sæ
+	&	&	None
+	þær	þær	þær
+	forweorþan	forwearþ	forweorþan
+	hundtwelftig	cxx	hundtwelftig
+	scip	scipa	scip
+	æt	æt	æt
+	Swanawic	Swanawic	swanawic
+	&	&	None
+	se	se	se
+	cyning	cyning	cyning
+	Ælfred	Ælfred	ælfred
+	æfter	æfter	æfter
-	se	þam	þæm
+	gehorsian	gehorsudan	gehorsian
-	here	here	herian
+	mid	mid	mid
-	fyrd	fierde	fierd
+	ridan	rad	ridan
+	oþ	oþ	oþ
+	Exanceaster	Exanceaster	exanceaster
+	&	&	None
+	hi	hie	hi
+	hindan	hindan	hindan
+	ofridan	ofridan	ofridan
-	ne	ne	nesan
+	magan	meahte	magan
+	ær	ær	ær
+	hi	hie	hi
+	on	on	on
-	se	þam	þæm
+	fæsten	fæstene	fæsten
+	wesan	wæron	wesan
+	þær	þær	þær
-	hi	him	him
-	man	mon	mann
-	to	to	toh
-	ne	ne	nesan
+	magan	meahte	magan
+	&	&	None
+	hi	hie	hi
-	he	him	him
+	þær	þær	þær
+	foregisel	foregislas	foregisel
-	sellan	saldon	None
+	swa	swa	swa
+	fela	fela	fela
+	swa	swa	swa
+	he	he	he
+	habban	habban	habban
+	willan	wolde	willan
+	&	&	None
+	micel	micle	micel
+	aþ	aþas	aþ
+	swerian	sworon	swerian
+	&	&	None
-	se	þa	þu
+	god	godne	god
+	friþ	friþ	friþ
+	healdan	heoldon	healdan
+	&	&	None
-	þa	þa	þu
+	on	on	on
+	hærfest	hærfæste	hærfest
+	gefaran	gefor	gefaran
+	se	se	se
-	here	here	herian
+	on	on	on
+	Mirce	Miercna	mirce
+	land	lond	land
+	&	&	None
+	hit	hit	hit
+	gedælan	gedældon	gedælan
+	sum	sum	sum
+	&	&	None
+	sum	sum	sum
+	Ceolwulf	Ceolwulfe	ceolwulf
-	sellan	saldon	None
+	her	Her	her
+	he	hiene	he
+	bestelan	bestæl	bestelan
+	se	se	se
-	here	here	herian
+	on	on	on
+	midd	midne	midd
+	winter	winter	winter
+	ofer	ofer	ofer
+	twelfta	tuelftan	twelfta
+	niht	niht	niht
-	to	to	toh
+	Cippanham	Cippanhamme	cippanham
+	&	&	None
+	geridan	geridon	geridan
+	West-Seaxe	Wesseaxna	west-seaxe
+	land	lond	land
+	&	&	None
+	gesittan	gesæton	gesittan
+	micel	micel	micel
+	se	þæs	se
+	folc	folces	folc
+	&	&	None
+	ofer	ofer	ofer
+	sæ	sæ	sæ
+	adræfan	adræfdon	adræfan
+	&	&	None
+	se	þæs	se
-	oðer	oþres	oþer
+	se	þone	se
+	micel	mæstan	micel
-	dæl	dæl	dælan
+	hi	hie	hi
+	geridan	geridon	geridan
+	&	&	None
-	hi	him	him
-	to	to	toh
+	gecirran	gecirdon	gecirran
+	butan	buton	butan
-	se	þam	þæm
-	cyning	cyninge	cyninge
+	Ælfred	Ælfrede	ælfred
+	&	&	None
+	he	he	he
+	lytel	lytle	lytel
-	weorod	werede	werian
+	uneaðelíce	unieþelice	uneaðelíce
+	æfter	æfter	æfter
+	wudu	wudum	wudu
-	faran	for	for
+	&	&	None
+	on	on	on
+	morfæsten	morfæstenum	morfæsten
+	&	&	None
+	se	þæs	se
+	ilca	ilcan	ilca
-	winter	wintra	wintra
+	wesan	wæs	wesan
+	Inwær	Inwæres	inwær
+	broðor	broþur	broðor
+	&	&	None
+	Halfdene	Healfdenes	halfdene
+	on	on	on
+	West-Seaxe	West.Seaxum	west-seaxe
+	on	on	on
-	Defena.scir	Defenascire	defena
+	mid	mid	mid
+	twentigþri	xxiii	twentigþri
+	scip	scipum	scip
+	&	&	None
+	he	hiene	he
-	man	mon	mann
+	þær	þær	þær
+	ofslean	ofslog	ofslean
+	&	&	None
+	eahtahund	dccc	eahtahund
+	mann	monna	mann
+	mid	mid	mid
-	he	him	him
+	&	&	None
+	feowertig	xl	feowertig
+	mann	monna	mann
-	his	his	hit
-	here	heres	None
+	&	&	None
+	se	þæs	se
+	on	on	on
+	easter	Eastron	easter
-	wyrcan	worhte	wyrсean
+	Ælfred	Ælfred	ælfred
+	cyning	cyning	cyning
+	lytel	lytle	lytel
-	weorod	werede	werian
+	geweorc	geweorc	geweorc
+	æt	æt	æt
+	Æðeling	Æþelinga	æðeling
+	ig	eigge	ig
+	&	&	None
+	of	of	of
-	se	þam	þæm
+	geweorc	geweorce	geweorc
-	wesan	was	None
+	winnan	winnende	winnan
+	wiþ	wiþ	wiþ
+	se	þone	se
-	here	here	herian
+	&	&	None
+	Sumersæte	Sumursætna	sumersæte
+	se	se	se
-	dæl	dæl	dælan
+	se	se	se
+	þær	þær	þær
+	neah	niehst	neah
+	wesan	wæs	wesan
+	þa	Þa	þa
+	on	on	on
-	se	þære	þære
+	seofoþa	seofoðan	seofoþa
+	wicu	wiecan	wicu
+	ofer	ofer	ofer
+	easter	Eastron	easter
+	he	he	he
+	geridan	gerad	geridan
-	to	to	toh
+	Ecgbryht	Ecgbryhtes	ecgbryht
-	stan	stane	stane
+	be	be	be
+	eastan	eastan	eastan
+	Sealhwudu	Sealwyda	sealhwudu
+	&	&	None
-	he	him	him
-	to	to	toh
+	cuman	com	cuman
+	þær	þær	þær
+	ongeagn	ongen	ongeagn
+	Sumersæte	Sumorsæte	sumersæte
+	eal	alle	eal
+	&	&	None
+	Wilsætan	Wilsætan	wilsætan
+	&	&	None
+	Hamtunscir	Hamtunscir	hamtunscir
+	se	se	se
-	dæl	dæl	dælan
+	se	se	se
+	hiere	hiere	hiere
+	beheonan	behinon	beheonan
+	sæ	sæ	sæ
-	wesan	was	None
+	&	&	None
-	he	his	hit
+	gefægen	gefægene	gefægen
-	wesan	wærun	None
+	&	&	None
+	he	he	he
-	faran	for	for
+	ymb	ymb	ymb
+	an	ane	an
+	niht	niht	niht
+	of	of	of
-	se	þam	þæm
-	wic	wicum	wiсe
-	to	to	toh
+	Iglea	Iglea	iglea
+	&	&	None
+	se	þæs	se
+	ymb	ymb	ymb
+	an	ane	an
-	to	to	toh
+	Eþandun	Eþandune	eþandun
+	&	&	None
+	þær	þær	þær
+	gefeohtan	gefeaht	gefeohtan
+	wiþ	wiþ	wiþ
+	eal	alne	eal
+	se	þone	se
-	here	here	herian
+	&	&	None
+	he	hiene	he
+	geflyman	gefliemde	geflyman
+	&	&	None
-	hi	him	him
+	æfter	æfter	æfter
+	ridan	rad	ridan
+	oþ	oþ	oþ
-	se	þæt	þæt
+	geweorc	geweorc	geweorc
+	&	&	None
+	þær	þær	þær
-	sittan	sæt	sæt
+	feowertyne	xiiii	feowertyne
+	niht	niht	niht
+	&	&	None
-	þa	þa	þu
-	sellan	salde	None
+	se	se	se
-	here	here	herian
-	he	him	him
+	foregisel	foregislas	foregisel
+	&	&	None
+	micel	micle	micel
+	aþ	aþas	aþ
+	þæt	þæt	þæt
+	hi	hie	hi
+	of	of	of
-	his	his	hit
-	rice	rice	romana
-	willan	uuoldon	None
+	&	&	None
-	he	him	him
-	eac	eac	eacan
+	gehatan	geheton	gehatan
+	þæt	þæt	þæt
+	hira	hiera	hira
-	cyning	kyning	kyning
-	fulwiht	fulwihte	fulwihtan
+	onfon	onfon	onfon
+	willan	wolde	willan
+	&	&	None
+	hi	hie	hi
-	se	þæt	þæt
+	gelæstan	gelæston	gelæstan
+	swa	swa	swa
+	&	&	None
+	se	þæs	se
+	ymb	ymb	ymb
+	þri	iii	þri
+	wicu	wiecan	wicu
+	cuman	com	cuman
+	se	se	se
+	cyning	cyning	cyning
-	to	to	toh
-	he	him	him
+	Godrum	Godrum	godrum
+	þritig	þritiga	þritig
+	sum	sum	sum
-	se	þara	þær
+	mann	monna	mann
-	þe	þe	þu
+	in	in	in
-	se	þam	þæm
-	here	here	herian
+	weorþ	weorþuste	weorþ
+	wesan	wæron	wesan
+	æt	æt	æt
+	Aler	Alre	aler
+	&	&	None
-	se	þæt	þæt
-	is	is	wesan
+	wiþ	wiþ	wiþ
+	Æðeling	Æþelingga	æðeling
+	ig	eige	ig
+	&	&	None
-	he	his	hit
+	se	se	se
+	cyning	cyning	cyning
+	þær	þær	þær
+	onfon	onfeng	onfon
+	æt	æt	æt
-	fulwiht	fulwihte	fulwihtan
+	&	&	None
-	his	his	hit
+	crismlysing	crismlising	crismlysing
-	wesan	was	None
+	æt	æt	æt
+	Weþmor	Weþmor	weþmor
+	&	&	None
+	he	he	he
-	wesan	was	None
+	twelf	xii	twelf
+	niht	niht	niht
+	mid	mid	mid
-	se	þam	þæm
-	cyning	cyninge	cyninge
+	&	&	None
+	he	he	he
+	he	hine	he
+	micel	miclum	micel
+	&	&	None
-	his	his	hit
-	gefera	geferan	gefere
+	mid	mid	mid
+	feoh	feo	feoh
-	weorþian	weorðude	None
+	her	Her	her
-	faran	for	for
+	se	se	se
-	here	here	herian
-	to	to	toh
+	Cirenceaster	Cirenceastre	cirenceaster
+	of	of	of
+	Cippanham	Cippan.hamme	cippanham
+	&	&	None
-	sittan	sæt	sæt
+	þær	þær	þær
-	an	an	on
+	gear	gear	gear
+	&	&	None
-	se	þy	þywan
-	gear	geare	geare
+	gegaderian	gegadrode	gegaderian
-	an	on	on
+	hloþ	hloþ	hloþ
+	wicing	wicenga	wicing
+	&	&	None
+	gesittan	gesæt	gesittan
+	æt	æt	æt
+	Fullanham	Fullan.hamme	fullanham
+	be	be	be
-	Temes	Temese	temesemuþa
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
+	aþystrian	aþiestrode	aþystrian
+	se	sio	se
+	sunne	sunne	sunne
+	an	ane	an
-	tid	tid	tidan
+	dæg	dæges	dæg
+	her	Her	her
-	faran	for	for
+	se	se	se
-	here	here	herian
+	of	of	of
+	Cirenceaster	Cirenceastre	cirenceaster
+	on	on	on
+	East-Engle	East.Engle	east-engle
+	&	&	None
+	gesittan	gesæt	gesittan
-	se	þæt	þæt
+	land	lond	land
+	&	&	None
+	gedælan	gedælde	gedælan
+	&	&	None
-	se	þy	þywan
+	ilca	ilcan	ilca
-	gear	geare	geare
-	faran	for	for
+	se	se	se
-	here	here	herian
+	ofer	ofer	ofer
+	sæ	sæ	sæ
-	þe	þe	þu
+	ær	ær	ær
+	on	on	on
+	Fullanham	Fullan.homme	fullanham
-	sittan	sæt	sæt
+	on	on	on
